Survived,Pclass,Sex,Age,Fare,FamilySize,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Embarked_Q,Embarked_S
0,3,1,22,7.25,2,0,1,0,0,0,1
1,1,0,38,71.2833,2,0,0,1,0,0,0
1,3,0,26,7.925,1,1,0,0,0,0,1
1,1,0,35,53.1,2,0,0,1,0,0,1
0,3,1,35,8.05,1,0,1,0,0,0,1
0,3,1,25,8.4583,1,0,1,0,0,1,0
0,1,1,54,51.8625,1,0,1,0,0,0,1
0,3,1,2,21.075,5,0,0,0,0,0,1
1,3,0,27,11.1333,3,0,0,1,0,0,1
1,2,0,14,30.0708,2,0,0,1,0,0,0
1,3,0,4,16.7,3,1,0,0,0,0,1
1,1,0,58,26.55,1,1,0,0,0,0,1
0,3,1,20,8.05,1,0,1,0,0,0,1
0,3,1,39,31.275,7,0,1,0,0,0,1
0,3,0,14,7.8542,1,1,0,0,0,0,1
1,2,0,55,16,1,0,0,1,0,0,1
0,3,1,2,29.125,6,0,0,0,0,1,0
1,2,1,30,13,1,0,1,0,0,0,1
0,3,0,31,18,2,0,0,1,0,0,1
1,3,0,21,7.225,1,0,0,1,0,0,0
0,2,1,35,26,1,0,1,0,0,0,1
1,2,1,34,13,1,0,1,0,0,0,1
1,3,0,15,8.0292,1,1,0,0,0,1,0
1,1,1,28,35.5,1,0,1,0,0,0,1
0,3,0,8,21.075,5,1,0,0,0,0,1
1,3,0,38,31.3875,7,0,0,1,0,0,1
0,3,1,25,7.225,1,0,1,0,0,0,0
0,1,1,19,263,6,0,1,0,0,0,1
1,3,0,21,7.8792,1,1,0,0,0,1,0
0,3,1,25,7.8958,1,0,1,0,0,0,1
0,1,1,40,27.7208,1,0,0,0,1,0,0
1,1,0,35,146.5208,2,0,0,1,0,0,0
1,3,0,21,7.75,1,1,0,0,0,1,0
0,2,1,66,10.5,1,0,1,0,0,0,1
0,1,1,28,82.1708,2,0,1,0,0,0,0
0,1,1,42,52,2,0,1,0,0,0,1
1,3,1,25,7.2292,1,0,1,0,0,0,0
0,3,1,21,8.05,1,0,1,0,0,0,1
0,3,0,18,18,3,1,0,0,0,0,1
1,3,0,14,11.2417,2,1,0,0,0,0,0
0,3,0,40,9.475,2,0,0,1,0,0,1
0,2,0,27,21,2,0,0,1,0,0,1
0,3,1,25,7.8958,1,0,1,0,0,0,0
1,2,0,3,41.5792,4,1,0,0,0,0,0
1,3,0,19,7.8792,1,1,0,0,0,1,0
0,3,1,25,8.05,1,0,1,0,0,0,1
0,3,1,25,15.5,2,0,1,0,0,1,0
1,3,0,21,7.75,1,1,0,0,0,1,0
0,3,1,25,21.6792,3,0,1,0,0,0,0
0,3,0,18,17.8,2,0,0,1,0,0,1
0,3,1,7,39.6875,6,0,0,0,0,0,1
0,3,1,21,7.8,1,0,1,0,0,0,1
1,1,0,49,76.7292,2,0,0,1,0,0,0
1,2,0,29,26,2,0,0,1,0,0,1
0,1,1,65,61.9792,2,0,1,0,0,0,0
1,1,1,40,35.5,1,0,1,0,0,0,1
1,2,0,21,10.5,1,1,0,0,0,0,1
0,3,1,28.5,7.2292,1,0,1,0,0,0,0
1,2,0,5,27.75,4,1,0,0,0,0,1
0,3,1,11,46.9,8,0,0,0,0,0,1
0,3,1,22,7.2292,1,0,1,0,0,0,0
1,1,0,38,80,1,1,0,0,0,0,1
0,1,1,45,83.475,2,0,1,0,0,0,1
0,3,1,4,27.9,6,0,0,0,0,0,1
0,1,1,40,27.7208,1,0,1,0,0,0,0
1,3,1,25,15.2458,3,0,0,0,0,0,0
1,2,0,29,10.5,1,0,0,1,0,0,1
0,3,1,19,8.1583,1,0,1,0,0,0,1
1,3,0,17,7.925,7,1,0,0,0,0,1
0,3,1,26,8.6625,3,0,1,0,0,0,1
0,2,1,32,10.5,1,0,1,0,0,0,1
0,3,0,16,46.9,8,1,0,0,0,0,1
0,2,1,21,73.5,1,0,1,0,0,0,1
0,3,1,26,14.4542,2,0,1,0,0,0,0
1,3,1,32,56.4958,1,0,1,0,0,0,1
0,3,1,25,7.65,1,0,1,0,0,0,1
0,3,1,25,7.8958,1,0,1,0,0,0,1
0,3,1,25,8.05,1,0,1,0,0,0,1
1,2,1,0.83,29,3,0,0,0,0,0,1
1,3,0,30,12.475,1,1,0,0,0,0,1
0,3,1,22,9,1,0,1,0,0,0,1
1,3,1,29,9.5,1,0,1,0,0,0,1
1,3,0,21,7.7875,1,1,0,0,0,1,0
0,1,1,28,47.1,1,0,1,0,0,0,1
1,2,0,17,10.5,1,1,0,0,0,0,1
1,3,0,33,15.85,4,0,0,1,0,0,1
0,3,1,16,34.375,5,0,1,0,0,0,1
0,3,1,25,8.05,1,0,1,0,0,0,1
1,1,0,23,263,6,1,0,0,0,0,1
0,3,1,24,8.05,1,0,1,0,0,0,1
0,3,1,29,8.05,1,0,1,0,0,0,1
0,3,1,20,7.8542,1,0,1,0,0,0,1
0,1,1,46,61.175,2,0,1,0,0,0,1
0,3,1,26,20.575,4,0,1,0,0,0,1
0,3,1,59,7.25,1,0,1,0,0,0,1
0,3,1,25,8.05,1,0,1,0,0,0,1
0,1,1,71,34.6542,1,0,1,0,0,0,0
1,1,1,23,63.3583,2,0,1,0,0,0,0
1,2,0,34,23,2,0,0,1,0,0,1
0,2,1,34,26,2,0,1,0,0,0,1
0,3,0,28,7.8958,1,1,0,0,0,0,1
0,3,1,25,7.8958,1,0,1,0,0,0,1
0,1,1,21,77.2875,2,0,1,0,0,0,1
0,3,1,33,8.6542,1,0,1,0,0,0,1
0,3,1,37,7.925,3,0,1,0,0,0,1
0,3,1,28,7.8958,1,0,1,0,0,0,1
1,3,0,21,7.65,1,1,0,0,0,0,1
1,3,1,25,7.775,1,0,1,0,0,0,1
0,3,1,38,7.8958,1,0,1,0,0,0,1
1,3,0,21,24.15,2,1,0,0,0,1,0
0,1,1,47,52,1,0,1,0,0,0,1
0,3,0,14.5,14.4542,2,1,0,0,0,0,0
0,3,1,22,8.05,1,0,1,0,0,0,1
0,3,0,20,9.825,2,1,0,0,0,0,1
0,3,0,17,14.4583,1,1,0,0,0,0,0
0,3,1,21,7.925,1,0,1,0,0,0,1
0,3,1,70.5,7.75,1,0,1,0,0,1,0
0,2,1,29,21,2,0,1,0,0,0,1
0,1,1,24,247.5208,2,0,1,0,0,0,0
0,3,0,2,31.275,7,1,0,0,0,0,1
0,2,1,21,73.5,3,0,1,0,0,0,1
0,3,1,25,8.05,1,0,1,0,0,0,1
0,2,1,32.5,30.0708,2,0,1,0,0,0,0
1,2,0,32.5,13,1,1,0,0,0,0,1
0,1,1,54,77.2875,2,0,1,0,0,0,1
1,3,1,12,11.2417,2,0,0,0,0,0,0
0,3,1,25,7.75,1,0,1,0,0,1,0
1,3,1,24,7.1417,1,0,1,0,0,0,1
1,3,0,21,22.3583,3,1,0,0,0,0,0
0,3,1,45,6.975,1,0,1,0,0,0,1
0,3,1,33,7.8958,1,0,1,0,0,0,0
0,3,1,20,7.05,1,0,1,0,0,0,1
0,3,0,47,14.5,2,0,0,1,0,0,1
1,2,0,29,26,2,0,0,1,0,0,1
0,2,1,25,13,1,0,1,0,0,0,1
0,2,1,23,15.0458,1,0,1,0,0,0,0
1,1,0,19,26.2833,3,1,0,0,0,0,1
0,1,1,37,53.1,2,0,1,0,0,0,1
0,3,1,16,9.2167,1,0,1,0,0,0,1
0,1,1,24,79.2,1,0,1,0,0,0,0
0,3,0,21,15.2458,3,0,0,1,0,0,0
1,3,0,22,7.75,1,1,0,0,0,0,1
1,3,0,24,15.85,2,0,0,1,0,0,1
0,3,1,19,6.75,1,0,1,0,0,1,0
0,2,1,18,11.5,1,0,1,0,0,0,1
0,2,1,19,36.75,3,0,1,0,0,0,1
1,3,1,27,7.7958,1,0,1,0,0,0,1
0,3,0,9,34.375,5,1,0,0,0,0,1
0,2,1,36.5,26,3,0,1,0,0,0,1
0,2,1,42,13,1,0,0,0,1,0,1
0,2,1,51,12.525,1,0,0,0,1,0,1
1,1,0,22,66.6,2,0,0,1,0,0,1
0,3,1,55.5,8.05,1,0,1,0,0,0,1
0,3,1,40.5,14.5,3,0,1,0,0,0,1
0,3,1,25,7.3125,1,0,1,0,0,0,1
0,1,1,51,61.3792,2,0,1,0,0,0,0
1,3,0,16,7.7333,1,1,0,0,0,1,0
0,3,1,30,8.05,1,0,1,0,0,0,1
0,3,1,25,8.6625,1,0,1,0,0,0,1
0,3,1,25,69.55,11,0,0,0,0,0,1
0,3,1,44,16.1,2,0,1,0,0,0,1
1,2,0,40,15.75,1,0,0,1,0,0,1
0,3,1,26,7.775,1,0,1,0,0,0,1
0,3,1,17,8.6625,1,0,1,0,0,0,1
0,3,1,1,39.6875,6,0,0,0,0,0,1
1,3,1,9,20.525,3,0,0,0,0,0,1
1,1,0,35,55,2,0,0,1,0,0,1
0,3,0,45,27.9,6,0,0,1,0,0,1
0,1,1,40,25.925,1,0,1,0,0,0,1
0,3,1,28,56.4958,1,0,1,0,0,0,1
0,1,1,61,33.5,1,0,1,0,0,0,1
0,3,1,4,29.125,6,0,0,0,0,1,0
1,3,0,1,11.1333,3,1,0,0,0,0,1
0,3,1,21,7.925,1,0,1,0,0,0,1
0,1,1,56,30.6958,1,0,1,0,0,0,0
0,3,1,18,7.8542,3,0,1,0,0,0,1
0,3,1,25,25.4667,5,0,0,0,0,0,1
0,1,0,50,28.7125,1,1,0,0,0,0,0
0,2,1,30,13,1,0,1,0,0,0,1
0,3,1,36,0,1,0,1,0,0,0,1
0,3,0,21,69.55,11,1,0,0,0,0,1
0,2,1,30,15.05,1,0,1,0,0,0,0
0,3,1,9,31.3875,7,0,0,0,0,0,1
1,2,1,1,39,4,0,0,0,0,0,1
1,3,0,4,22.025,3,1,0,0,0,0,1
0,1,1,40,50,1,0,1,0,0,0,1
1,3,0,21,15.5,2,0,0,1,0,1,0
1,1,1,45,26.55,1,0,1,0,0,0,1
0,3,1,40,15.5,3,0,1,0,0,1,0
0,3,1,36,7.8958,1,0,1,0,0,0,1
1,2,0,32,13,1,0,0,1,0,0,1
0,2,1,19,13,1,0,1,0,0,0,1
1,3,0,19,7.8542,2,1,0,0,0,0,1
1,2,1,3,26,3,0,0,0,0,0,1
1,1,0,44,27.7208,1,0,0,1,0,0,0
1,1,0,58,146.5208,1,1,0,0,0,0,0
0,3,1,25,7.75,1,0,1,0,0,1,0
0,3,1,42,8.4042,2,0,1,0,0,0,1
1,3,0,21,7.75,1,1,0,0,0,1,0
0,2,0,24,13,1,1,0,0,0,0,1
0,3,1,28,9.5,1,0,1,0,0,0,1
0,3,1,25,69.55,11,0,1,0,0,0,1
0,3,1,34,6.4958,1,0,1,0,0,0,1
0,3,1,45.5,7.225,1,0,1,0,0,0,0
1,3,1,18,8.05,1,0,1,0,0,0,1
0,3,0,2,10.4625,2,1,0,0,0,0,1
0,3,1,32,15.85,2,0,1,0,0,0,1
1,3,1,26,18.7875,1,0,1,0,0,0,0
1,3,0,16,7.75,1,1,0,0,0,1,0
1,1,1,40,31,1,0,1,0,0,0,0
0,3,1,24,7.05,1,0,1,0,0,0,1
1,2,0,35,21,1,1,0,0,0,0,1
0,3,1,22,7.25,1,0,1,0,0,0,1
0,2,1,30,13,1,0,1,0,0,0,1
0,3,1,25,7.75,2,0,1,0,0,1,0
1,1,0,31,113.275,2,1,0,0,0,0,0
1,3,0,27,7.925,1,1,0,0,0,0,1
0,2,1,42,27,2,0,1,0,0,0,1
1,1,0,32,76.2917,1,1,0,0,0,0,0
0,2,1,30,10.5,1,0,1,0,0,0,1
1,3,1,16,8.05,1,0,1,0,0,0,1
0,2,1,27,13,1,0,1,0,0,0,1
0,3,1,51,8.05,1,0,1,0,0,0,1
0,3,1,25,7.8958,1,0,1,0,0,0,1
1,1,1,38,90,2,0,1,0,0,0,1
0,3,1,22,9.35,1,0,1,0,0,0,1
1,2,1,19,10.5,1,0,1,0,0,0,1
0,3,1,20.5,7.25,1,0,1,0,0,0,1
0,2,1,18,13,1,0,1,0,0,0,1
0,3,0,21,25.4667,5,1,0,0,0,0,1
1,1,0,35,83.475,2,0,0,1,0,0,1
0,3,1,29,7.775,1,0,1,0,0,0,1
0,2,1,59,13.5,1,0,1,0,0,0,1
1,3,0,5,31.3875,7,1,0,0,0,0,1
0,2,1,24,10.5,1,0,1,0,0,0,1
0,3,0,21,7.55,1,1,0,0,0,0,1
0,2,1,44,26,2,0,1,0,0,0,1
1,2,0,8,26.25,3,1,0,0,0,0,1
0,2,1,19,10.5,1,0,1,0,0,0,1
0,2,1,33,12.275,1,0,1,0,0,0,1
0,3,0,21,14.4542,2,1,0,0,0,0,0
1,3,0,21,15.5,2,1,0,0,0,1,0
0,2,1,29,10.5,1,0,1,0,0,0,1
0,3,1,22,7.125,1,0,1,0,0,0,1
0,3,1,30,7.225,1,0,1,0,0,0,0
0,1,1,44,90,3,0,0,0,1,1,0
0,3,0,25,7.775,1,1,0,0,0,0,1
1,2,0,24,14.5,3,0,0,1,0,0,1
1,1,1,37,52.5542,3,0,1,0,0,0,1
0,2,1,54,26,2,0,0,0,1,0,1
0,3,1,25,7.25,1,0,1,0,0,0,1
0,3,0,29,10.4625,3,0,0,1,0,0,1
0,1,1,62,26.55,1,0,1,0,0,0,1
0,3,1,30,16.1,2,0,1,0,0,0,1
0,3,0,41,20.2125,3,0,0,1,0,0,1
1,3,0,29,15.2458,3,0,0,1,0,0,0
1,1,0,35,79.2,1,0,0,1,0,0,0
1,1,0,30,86.5,1,1,0,0,0,0,1
1,1,0,35,512.3292,1,1,0,0,0,0,0
1,2,0,50,26,2,0,0,1,0,0,1
0,3,1,25,7.75,1,0,1,0,0,1,0
1,3,1,3,31.3875,7,0,0,0,0,0,1
0,1,1,52,79.65,3,0,1,0,0,0,1
0,1,1,40,0,1,0,1,0,0,0,1
0,3,0,21,7.75,1,1,0,0,0,1,0
0,2,1,36,10.5,1,0,1,0,0,0,1
0,3,1,16,39.6875,6,0,1,0,0,0,1
1,3,1,25,7.775,2,0,1,0,0,0,1
1,1,0,58,153.4625,2,0,0,1,0,0,1
1,1,0,35,135.6333,1,1,0,0,0,0,1
0,1,1,40,31,1,0,1,0,0,0,1
1,3,1,25,0,1,0,1,0,0,0,1
1,2,0,41,19.5,2,0,0,1,0,0,1
0,1,1,37,29.7,2,0,1,0,0,0,0
1,3,0,21,7.75,1,1,0,0,0,1,0
1,1,0,63,77.9583,2,1,0,0,0,0,1
0,3,0,45,7.75,1,1,0,0,0,0,1
0,2,1,30,0,1,0,1,0,0,0,1
0,3,1,7,29.125,6,0,0,0,0,1,0
1,3,0,35,20.25,3,0,0,1,0,0,1
0,3,1,65,7.75,1,0,1,0,0,1,0
0,3,1,28,7.8542,1,0,1,0,0,0,1
0,3,1,16,9.5,1,0,1,0,0,0,1
1,3,1,19,8.05,1,0,1,0,0,0,1
0,1,1,40,26,1,0,1,0,0,0,1
0,3,1,33,8.6625,1,0,1,0,0,0,0
1,3,1,30,9.5,1,0,1,0,0,0,1
0,3,1,22,7.8958,1,0,1,0,0,0,1
1,2,1,42,13,1,0,1,0,0,0,1
1,3,0,22,7.75,1,1,0,0,0,1,0
1,1,0,26,78.85,1,1,0,0,0,0,1
1,1,0,19,91.0792,2,0,0,1,0,0,0
0,2,1,36,12.875,1,0,1,0,0,0,0
0,3,0,24,8.85,1,1,0,0,0,0,1
0,3,1,24,7.8958,1,0,1,0,0,0,1
0,1,1,40,27.7208,1,0,1,0,0,0,0
0,3,1,23.5,7.2292,1,0,1,0,0,0,0
0,1,0,2,151.55,4,1,0,0,0,0,1
1,1,1,40,30.5,1,0,1,0,0,0,1
1,1,0,50,247.5208,2,0,0,1,0,0,0
1,3,0,21,7.75,1,1,0,0,0,1,0
1,3,1,25,23.25,3,0,1,0,0,1,0
0,3,1,19,0,1,0,1,0,0,0,1
1,2,0,28,12.35,1,1,0,0,0,1,0
0,3,1,25,8.05,1,0,1,0,0,0,1
1,1,1,0.92,151.55,4,0,0,0,0,0,1
1,1,0,35,110.8833,1,1,0,0,0,0,0
1,1,0,17,108.9,2,0,0,1,0,0,0
0,2,1,30,24,2,0,1,0,0,0,0
1,1,0,30,56.9292,1,1,0,0,0,0,0
1,1,0,24,83.1583,1,1,0,0,0,0,0
1,1,0,18,262.375,5,1,0,0,0,0,0
0,2,0,26,26,3,0,0,1,0,0,1
0,3,1,28,7.8958,1,0,1,0,0,0,1
0,2,1,43,26.25,3,0,1,0,0,0,1
1,3,0,26,7.8542,1,1,0,0,0,0,1
1,2,0,24,26,2,0,0,1,0,0,1
0,2,1,54,14,1,0,0,0,1,0,1
1,1,0,31,164.8667,3,1,0,0,0,0,1
1,1,0,40,134.5,3,0,0,1,0,0,0
0,3,1,22,7.25,1,0,1,0,0,0,1
0,3,1,27,7.8958,1,0,1,0,0,0,1
1,2,0,30,12.35,1,1,0,0,0,1,0
1,2,0,22,29,3,0,0,1,0,0,1
0,3,1,25,69.55,11,0,1,0,0,0,1
1,1,0,36,135.6333,1,1,0,0,0,0,0
0,3,1,61,6.2375,1,0,1,0,0,0,1
1,2,0,36,13,1,0,0,1,0,0,1
1,3,0,31,20.525,3,0,0,1,0,0,1
1,1,0,16,57.9792,2,1,0,0,0,0,0
1,3,0,21,23.25,3,1,0,0,0,1,0
0,1,1,45.5,28.5,1,0,1,0,0,0,1
0,1,1,38,153.4625,2,0,1,0,0,0,1
0,3,1,16,18,3,0,1,0,0,0,1
1,1,0,35,133.65,2,0,0,1,0,0,1
0,3,1,25,7.8958,1,0,1,0,0,0,1
0,1,1,29,66.6,2,0,1,0,0,0,1
1,1,0,41,134.5,1,1,0,0,0,0,0
1,3,1,45,8.05,1,0,1,0,0,0,1
0,1,1,45,35.5,1,0,1,0,0,0,1
1,2,1,2,26,3,0,0,0,0,0,1
1,1,0,24,263,6,1,0,0,0,0,1
0,2,1,28,13,1,0,1,0,0,0,1
0,2,1,25,13,1,0,1,0,0,0,1
0,2,1,36,13,1,0,1,0,0,0,1
1,2,0,24,13,1,1,0,0,0,0,1
1,2,0,40,13,1,1,0,0,0,0,1
1,3,0,21,16.1,2,0,0,1,0,0,1
1,3,1,3,15.9,3,0,0,0,0,0,1
0,3,1,42,8.6625,1,0,1,0,0,0,1
0,3,1,23,9.225,1,0,1,0,0,0,1
0,1,1,40,35,1,0,1,0,0,0,1
0,3,1,15,7.2292,3,0,1,0,0,0,0
0,3,1,25,17.8,2,0,1,0,0,0,1
0,3,1,25,7.225,1,0,1,0,0,0,0
0,3,1,28,9.5,1,0,1,0,0,0,1
1,1,0,22,55,2,1,0,0,0,0,1
0,2,0,38,13,1,1,0,0,0,0,1
1,3,0,21,7.8792,1,1,0,0,0,1,0
1,3,0,21,7.8792,1,1,0,0,0,1,0
0,3,1,40,27.9,6,0,1,0,0,0,1
0,2,1,29,27.7208,2,0,1,0,0,0,0
0,3,0,45,14.4542,2,0,0,1,0,0,0
0,3,1,35,7.05,1,0,1,0,0,0,1
0,3,1,25,15.5,2,0,1,0,0,1,0
0,3,1,30,7.25,1,0,1,0,0,0,1
1,1,0,60,75.25,2,0,0,1,0,0,0
1,3,0,21,7.2292,1,0,0,1,0,0,0
1,3,0,21,7.75,1,1,0,0,0,1,0
1,1,0,24,69.3,1,0,0,1,0,0,0
1,1,1,25,55.4417,2,0,1,0,0,0,0
0,3,1,18,6.4958,2,0,1,0,0,0,1
0,3,1,19,8.05,1,0,1,0,0,0,1
0,1,1,22,135.6333,1,0,1,0,0,0,0
0,3,0,3,21.075,5,1,0,0,0,0,1
1,1,0,35,82.1708,2,0,0,1,0,0,0
1,3,0,22,7.25,1,1,0,0,0,0,1
0,1,1,27,211.5,3,0,1,0,0,0,0
0,3,1,20,4.0125,1,0,1,0,0,0,0
0,3,1,19,7.775,1,0,1,0,0,0,1
1,1,0,42,227.525,1,1,0,0,0,0,0
1,3,0,1,15.7417,3,1,0,0,0,0,0
0,3,1,32,7.925,1,0,1,0,0,0,1
1,1,0,35,52,2,0,0,1,0,0,1
0,3,1,25,7.8958,1,0,1,0,0,0,1
0,2,1,18,73.5,1,0,1,0,0,0,1
0,3,1,1,46.9,8,0,0,0,0,0,1
1,2,0,36,13,1,1,0,0,0,0,1
0,3,1,25,7.7292,1,0,1,0,0,1,0
1,2,0,17,12,1,1,0,0,0,0,0
1,1,1,36,120,4,0,1,0,0,0,1
1,3,1,21,7.7958,1,0,1,0,0,0,1
0,3,1,28,7.925,3,0,1,0,0,0,1
1,1,0,23,113.275,2,1,0,0,0,0,0
1,3,0,24,16.7,3,0,0,1,0,0,1
0,3,1,22,7.7958,1,0,1,0,0,0,1
0,3,0,31,7.8542,1,1,0,0,0,0,1
0,2,1,46,26,1,0,1,0,0,0,1
0,2,1,23,10.5,1,0,0,0,1,0,1
1,2,0,28,12.65,1,0,0,1,0,0,1
1,3,1,39,7.925,1,0,1,0,0,0,1
0,3,1,26,8.05,1,0,1,0,0,0,1
0,3,0,21,9.825,2,1,0,0,0,0,1
0,3,1,28,15.85,2,0,1,0,0,0,1
0,3,0,20,8.6625,1,1,0,0,0,0,1
0,2,1,34,21,2,0,1,0,0,0,1
0,3,1,51,7.75,1,0,1,0,0,0,1
1,2,1,3,18.75,3,0,0,0,0,0,1
0,3,1,21,7.775,1,0,1,0,0,0,1
0,3,0,21,25.4667,5,1,0,0,0,0,1
0,3,1,25,7.8958,1,0,1,0,0,0,1
0,3,1,25,6.8583,1,0,1,0,0,1,0
1,1,0,33,90,2,1,0,0,0,1,0
0,2,1,30,0,1,0,1,0,0,0,1
1,3,1,44,7.925,1,0,1,0,0,0,1
0,3,0,21,8.05,1,0,0,1,0,0,1
1,2,0,34,32.5,3,0,0,1,0,0,1
1,2,0,18,13,3,1,0,0,0,0,1
0,2,1,30,13,1,0,1,0,0,0,1
0,3,0,10,24.15,3,1,0,0,0,0,1
0,3,1,25,7.8958,1,0,1,0,0,0,0
0,3,1,21,7.7333,1,0,1,0,0,1,0
0,3,1,29,7.875,1,0,1,0,0,0,1
0,3,0,28,14.4,3,0,0,1,0,0,1
0,3,1,18,20.2125,3,0,1,0,0,0,1
0,3,1,25,7.25,1,0,1,0,0,0,1
1,2,0,28,26,2,0,0,1,0,0,1
1,2,0,19,26,1,1,0,0,0,0,1
0,3,1,25,7.75,1,0,1,0,0,1,0
1,3,1,32,8.05,1,0,1,0,0,0,1
1,1,1,28,26.55,1,0,1,0,0,0,1
1,3,0,21,16.1,2,0,0,1,0,0,1
1,2,0,42,26,2,0,0,1,0,0,1
0,3,1,17,7.125,1,0,1,0,0,0,1
0,1,1,50,55.9,2,0,1,0,0,0,1
1,1,0,14,120,4,1,0,0,0,0,1
0,3,0,21,34.375,5,1,0,0,0,0,1
1,2,0,24,18.75,6,0,0,1,0,0,1
0,1,1,64,263,6,0,1,0,0,0,1
0,2,1,31,10.5,1,0,1,0,0,0,1
1,2,0,45,26.25,3,0,0,1,0,0,1
0,3,1,20,9.5,1,0,1,0,0,0,1
0,3,1,25,7.775,2,0,1,0,0,0,1
1,2,0,28,13,1,1,0,0,0,0,1
